2026-03-27 16:14:45,380 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Configure stats pid to 1079096
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Loading settings from /u/q/dg765/.config/wandb/settings
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Loading settings from /mnt/data/dg765/BiPorousMediaFlow/wandb/settings
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'root_dir': '/mnt/data/dg765/BiPorousMediaFlow/wandb'}
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'code/train.py', 'program_abspath': '/mnt/data/dg765/BiPorousMediaFlow/code/train.py', 'program': 'code/train.py'}
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Applying login settings: {}
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_setup.py:_flush():76] Applying login settings: {}
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_init.py:_log_setup():520] Logging user logs to /mnt/data/dg765/BiPorousMediaFlow/wandb/wandb/run-20260327_161445-336h713w/logs/debug.log
2026-03-27 16:14:45,381 INFO    MainThread:1079096 [wandb_init.py:_log_setup():521] Logging internal logs to /mnt/data/dg765/BiPorousMediaFlow/wandb/wandb/run-20260327_161445-336h713w/logs/debug-internal.log
2026-03-27 16:14:45,382 INFO    MainThread:1079096 [wandb_init.py:init():560] calling init triggers
2026-03-27 16:14:45,382 INFO    MainThread:1079096 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2026-03-27 16:14:45,382 INFO    MainThread:1079096 [wandb_init.py:init():610] starting backend
2026-03-27 16:14:45,382 INFO    MainThread:1079096 [wandb_init.py:init():614] setting up manager
2026-03-27 16:14:45,385 INFO    MainThread:1079096 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-03-27 16:14:45,387 INFO    MainThread:1079096 [wandb_init.py:init():622] backend started and connected
2026-03-27 16:14:45,392 INFO    MainThread:1079096 [wandb_init.py:init():711] updated telemetry
2026-03-27 16:14:45,435 INFO    MainThread:1079096 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2026-03-27 16:14:46,409 INFO    MainThread:1079096 [wandb_run.py:_on_init():2396] communicating current version
2026-03-27 16:14:46,570 INFO    MainThread:1079096 [wandb_run.py:_on_init():2405] got version response upgrade_message: "wandb version 0.25.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2026-03-27 16:14:46,571 INFO    MainThread:1079096 [wandb_init.py:init():795] starting run threads in backend
2026-03-27 16:14:48,247 INFO    MainThread:1079096 [wandb_run.py:_console_start():2374] atexit reg
2026-03-27 16:14:48,247 INFO    MainThread:1079096 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2026-03-27 16:14:48,248 INFO    MainThread:1079096 [wandb_run.py:_redirect():2294] Wrapping output streams.
2026-03-27 16:14:48,248 INFO    MainThread:1079096 [wandb_run.py:_redirect():2319] Redirects installed.
2026-03-27 16:14:48,250 INFO    MainThread:1079096 [wandb_init.py:init():838] run started, returning control to user process
2026-03-27 16:14:51,529 WARNING MsgRouterThr:1079096 [router.py:message_loop():77] message_loop has been closed
